"date","region","new_cases","total"
2020-09-13,"Abkhazia",16,656
2020-09-13,"Tskhinvali Region",0,90
2020-09-14,"Abkhazia",18,674
2020-09-14,"Tskhinvali Region",0,90
2020-09-15,"Abkhazia",52,726
2020-09-15,"Tskhinvali Region",0,90
2020-09-16,"Abkhazia",30,756
2020-09-16,"Tskhinvali Region",0,90
2020-09-17,"Abkhazia",26,782
2020-09-17,"Tskhinvali Region",0,90
2020-09-18,"Abkhazia",43,825
2020-09-18,"Tskhinvali Region",0,90
2020-09-19,"Abkhazia",53,878
2020-09-19,"Tskhinvali Region",0,90
2020-09-20,"Abkhazia",61,939
2020-09-20,"Tskhinvali Region",1,91
2020-09-21,"Abkhazia",56,995
2020-09-21,"Tskhinvali Region",0,91
2020-09-22,"Abkhazia",59,1054
2020-09-22,"Tskhinvali Region",0,91
2020-09-23,"Abkhazia",62,1116
2020-09-23,"Tskhinvali Region",0,91
2020-09-24,"Abkhazia",61,1177
2020-09-24,"Tskhinvali Region",1,92
2020-09-25,"Abkhazia",68,1245
2020-09-25,"Tskhinvali Region",1,93
2020-09-26,"Abkhazia",41,1286
2020-09-26,"Tskhinvali Region",0,93
2020-09-27,"Abkhazia",46,1332
2020-09-27,"Tskhinvali Region",0,93
2020-09-28,"Abkhazia",20,1352
2020-09-28,"Tskhinvali Region",5,98
2020-09-29,"Abkhazia",35,1387
2020-09-29,"Tskhinvali Region",2,100
2020-09-30,"Abkhazia",71,1458
2020-09-30,"Tskhinvali Region",0,100
2020-10-01,"Abkhazia",67,1525
2020-10-01,"Tskhinvali Region",2,102
2020-10-02,"Abkhazia",65,1590
2020-10-02,"Tskhinvali Region",0,102
2020-10-03,"Abkhazia",69,1659
2020-10-03,"Tskhinvali Region",2,104
2020-10-04,"Abkhazia",57,1716
2020-10-04,"Tskhinvali Region",0,106
2020-10-05,"Abkhazia",49,1765
2020-10-05,"Tskhinvali Region",0,106
2020-10-06,"Abkhazia",103,1868
2020-10-06,"Tskhinvali Region",2,106
2020-10-07,"Abkhazia",108,1976
2020-10-07,"Tskhinvali Region",8,114
2020-10-08,"Abkhazia",95,2071
2020-10-08,"Tskhinvali Region",12,119
2020-10-09,"Abkhazia",99,2170
2020-10-09,"Tskhinvali Region",8,127
2020-10-10,"Abkhazia",87,2257
2020-10-10,"Tskhinvali Region",10,139
2020-10-11,"Abkhazia",0,2257
2020-10-11,"Tskhinvali Region",3,142
2020-10-12,"Abkhazia",86,2343
2020-10-12,"Tskhinvali Region",0,142
2020-10-13,"Abkhazia",87,2430
2020-10-13,"Tskhinvali Region",10,152
2020-10-14,"Abkhazia",49,2479
2020-10-14,"Tskhinvali Region",21,173
2020-10-15,"Abkhazia",100,2579
2020-10-15,"Tskhinvali Region",24,197
2020-10-16,"Abkhazia",93,2672
2020-10-16,"Tskhinvali Region",30,227
2020-10-17,"Abkhazia",124,2796
2020-10-17,"Tskhinvali Region",57,284
2020-10-18,"Abkhazia",0,2796
2020-10-18,"Tskhinvali Region",0,284
2020-10-19,"Abkhazia",107,2903
2020-10-19,"Tskhinvali Region",12,296
2020-10-20,"Abkhazia",133,3036
2020-10-20,"Tskhinvali Region",9,305
2020-10-21,"Abkhazia",136,3172
2020-10-21,"Tskhinvali Region",0,337
2020-10-22,"Abkhazia",134,3306
2020-10-22,"Tskhinvali Region",0,337
2020-10-23,"Abkhazia",144,3450
2020-10-23,"Tskhinvali Region",25,362
2020-10-24,"Abkhazia",117,3567
2020-10-24,"Tskhinvali Region",5,367
2020-10-25,"Abkhazia",172,3739
2020-10-25,"Tskhinvali Region",114,481
2020-10-26,"Abkhazia",100,3839
2020-10-26,"Tskhinvali Region",78,559
2020-10-27,"Abkhazia",113,3952
2020-10-27,"Tskhinvali Region",64,623
2020-10-28,"Abkhazia",106,4058
2020-10-28,"Tskhinvali Region",47,670
2020-10-29,"Abkhazia",68,4126
2020-10-29,"Tskhinvali Region",98,768
2020-10-30,"Abkhazia",34,4160
2020-10-30,"Tskhinvali Region",1,769
2020-10-31,"Abkhazia",73,4233
2020-10-31,"Tskhinvali Region",148,917
2020-11-01,"Abkhazia",69,4302
2020-11-01,"Tskhinvali Region",0,917
2020-11-02,"Abkhazia",47,4349
2020-11-02,"Tskhinvali Region",137,1054
2020-11-03,"Abkhazia",77,4426
2020-11-03,"Tskhinvali Region",0,1054
2020-11-04,"Abkhazia",79,4505
2020-11-04,"Tskhinvali Region",63,1117
2020-11-05,"Abkhazia",76,4581
2020-11-05,"Tskhinvali Region",68,1185
2020-11-06,"Abkhazia",68,4649
2020-11-06,"Tskhinvali Region",61,1270
2020-11-07,"Abkhazia",71,4720
2020-11-07,"Tskhinvali Region",41,1311
2020-11-08,"Abkhazia",0,4720
2020-11-08,"Tskhinvali Region",2,1313
2020-11-09,"Abkhazia",52,4772
2020-11-09,"Tskhinvali Region",61,1374
2020-11-10,"Abkhazia",59,4831
2020-11-10,"Tskhinvali Region",77,1451
2020-11-11,"Abkhazia",67,4898
2020-11-11,"Tskhinvali Region",44,1495
2020-11-12,"Abkhazia",53,4951
2020-11-12,"Tskhinvali Region",55,1550
2020-11-13,"Abkhazia",73,5024
2020-11-13,"Tskhinvali Region",57,1607
2020-11-14,"Abkhazia",41,5065
2020-11-14,"Tskhinvali Region",30,1637
2020-11-15,"Abkhazia",0,5065
2020-11-15,"Tskhinvali Region",35,1672
2020-11-16,"Abkhazia",34,5099
2020-11-16,"Tskhinvali Region",0,1672
2020-11-17,"Abkhazia",75,5174
2020-11-17,"Tskhinvali Region",36,1702
2020-11-18,"Abkhazia",39,5213
2020-11-18,"Tskhinvali Region",13,1715
2020-11-19,"Abkhazia",65,5278
2020-11-19,"Tskhinvali Region",25,1740
2020-11-20,"Abkhazia",34,5312
2020-11-20,"Tskhinvali Region",0,1740
2020-11-21,"Abkhazia",68,5380
2020-11-21,"Tskhinvali Region",12,1752
2020-11-22,"Abkhazia",0,5380
2020-11-22,"Tskhinvali Region",22,1774
2020-11-23,"Abkhazia",62,5442
2020-11-23,"Tskhinvali Region",0,1774
2020-11-24,"Abkhazia",116,5558
